Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
3070,000;1085,5392;5645,9474;3516,3297;2544,0475;3270,8634;922,5658;3624,2566;828,16592;3502,1685;
3068,000;1264,9898;5695,2218;3759,8187;2561,9252;3850,204;796,24407;2298,2766;711,54899;3577,0652;
3066,000;1531,9307;5555,8427;4032,4821;2652,4533;3349,5785;1018,1051;2570,1812;649,57263;3539,6929;
3064,000;940,44572;5936,3687;3984,967;2800,6979;3492,1778;975,52582;2651,9412;903,28163;3538,491;
3062,000;810,9718;5901,4762;3900,7706;2793,0752;3406,1421;876,7921;2189,9784;928,46598;3475,3265;
3060,000;753,96258;5510,169;3792,207;2475,8859;3459,0444;1234,211;4074,2205;757,03595;3501,8401;
3058,000;685,00756;5383,3114;3407,5797;2132,8947;3348,3208;984,12675;2825,0984;688,55348;3547,1402;
3056,000;559,53664;5037,9209;3355,4009;2326,4235;2985,1789;939,84145;2587,3259;538,20091;3010,5795;
3054,000;763,0381;4939,8328;2966,9659;2344,5675;2690,4442;721,53317;2233,3132;645,44372;2767,8347;
3052,000;548,79451;4516,0454;3011,9024;1828,7022;2639,4231;530,5919;2040,3715;505,33181;2416,9567;
3050,000;890,70043;4051,2193;2659,5819;1660,9226;2030,2901;467,09974;1590,1029;682,94355;2351,774;
3048,000;663,48311;3610,2592;2183,0641;1358,3829;1927,1755;538,16496;1627,5041;397,69865;1715,9774;
3046,000;185,41169;3237,0188;2173,9055;1149,2946;1695,859;336,98871;1454,4917;417,41231;1786,5508;
3044,000;32,358933;2368,2387;1798,44;1079,017;1457,1679;533,76335;1197,814;424,9896;1384,4788;
3042,000;492,49075;2450,9099;1648,828;1160,9284;1477,3741;566,09547;1389,7435;195,99059;1434,9357;
3040,000;271,92597;2054,9324;1241,2749;966,40757;1260,8665;463,05485;935,38029;170,49627;1153,4015;
3038,000;252,07682;1968,6946;1349,9906;971,50187;1100,1828;302,10584;971,48315;35,718678;1324,6248;
3036,000;628,11633;1899,7717;1169,4323;778,41215;1159,0823;302,51383;592,85824;171,29181;1075,7969;
3034,000;368,27423;1713,6202;1185,776;904,44461;1151,0221;304,68553;92,490542;180,28617;1167,8501;
3032,000;74,719267;1560,8261;1193,0616;846,86597;766,98614;284,23001;96,359868;219,47053;1042,4339;
3030,000;161,54086;1499,8166;953,55314;642,36145;853,92165;323,57689;2,1179716;190,17114;901,57229;
3028,000;72,083939;1211,1328;932,69622;662,74797;789,26618;403,54516;378,93048;320,40685;664,65105;
3026,000;55,532105;1181,4526;794,15847;707,97363;650,41328;484,85285;1289,2755;148,85487;818,98965;
3024,000;70,214829;1184,261;916,89642;566,08131;537,58876;118,11869;369,80473;210,28544;733,83823;
3022,000;377,84481;1026,2562;849,77097;670,0437;748,76513;179,55122;73,652322;163,39652;669,82942;
3020,000;224,077;1204,5061;677,09058;700,77835;791,19586;471,78484;425,17651;223,61099;959,78646;
3018,000;176,42197;1314,3146;719,27606;540,885;693,68842;302,53271;339,22084;188,20775;769,93424;
3016,000;116,35975;1372,5624;935,31286;765,6271;1010,738;230,79185;357,42532;292,0417;881,56097;
3014,000;94,677556;1224,8545;907,91376;917,87276;721,54768;89,264124;532,21505;176,00713;773,75232;
3012,000;420,51081;1421,5097;1261,3429;959,19672;969,25451;200,78994;306,80961;152,09489;829,56058;
3010,000;390,92571;1666,8957;1078,074;868,72939;1029,9316;116,40371;824,44598;204,95292;983,10588;
3008,000;351,78355;1770,4064;1010,4512;1019,2771;986,1141;228,2875;754,60713;137,74601;946,84645;
3006,000;324,29268;1911,9242;1117,7826;1054,8193;1081,5947;227,58366;391,8049;188,06002;1099,3483;
3004,000;409,75689;1882,6104;1219,5951;974,36455;1131,2737;377,90375;538,88966;252,1026;1135,7205;
3002,000;411,48805;1907,0913;1358,8007;912,32092;1371,5367;260,60373;1001,0823;396,51153;1236,0234;
3000,000;531,59508;2008,1391;1278,9982;998,00214;1194,9739;417,73711;1420,5303;368,29487;1120,1809;
2998,000;400,33485;1924,3554;1278,205;1120,8094;1414,7931;343,90916;960,10091;201,15699;1155,5769;
2996,000;491,82313;2070,3148;1149,813;1066,4361;1436,5744;338,04995;1423,9015;204,60001;947,4676;
2994,000;523,89708;2172,2349;1416,9377;1200,7381;1468,7829;507,00356;860,33537;233,44602;1285,0564;
2992,000;471,41523;2266,6533;1496,174;1157,3155;1451,3983;258,82091;878,36625;92,584032;1365,4986;
2990,000;463,77741;2371,8881;1777,2217;1377,0381;1369,2112;446,23268;330,05026;318,65081;1314,4911;
2988,000;555,66069;2576,08;1489,4367;1602,6907;1498,5893;335,9018;1778,2672;392,38973;1597,5754;
2986,000;498,39541;2828,2511;1731,9835;1483,5151;1688,1179;705,3529;1016,3318;386,82191;1647,1961;
2984,000;614,25412;2925,7523;1774,1825;1575,2759;1669,4634;506,19661;1756,5201;352,32905;1801,0887;
2982,000;553,05404;2947,1106;1924,0412;1687,4948;1838,741;418,03495;1545,8227;449,27731;1820,2754;
2980,000;841,26055;3191,6205;2171,1328;1768,5324;2004,5036;485,92396;2569,5106;437,52799;2018,8924;
2978,000;816,31575;3383,2732;2157,6353;1655,2722;2113,7409;526,26193;2556,4139;427,52697;2198,9844;
2976,000;861,18354;3544,6444;2122,7039;1805,4627;2121,1273;530,28929;3439,9132;559,61617;2279,3522;
2974,000;972,1161;3547,6216;2319,501;1791,3263;2356,9621;632,91495;2383,2738;377,70551;2079,1898;
2972,000;1109,3123;3489,5977;2330,6496;1703,7012;2586,2905;510,31856;2857,867;469,94896;2077,5954;
2970,000;1172,2185;3620,8769;2367,1047;1790,5437;2316,9756;604,89731;3322,2956;606,58746;2277,6829;
2968,000;1227,4922;3775,8372;2483,2544;2011,7166;2414,8793;645,67922;3738,1989;390,97498;2299,7669;
2966,000;1121,8629;4185,5433;2403,8058;1864,9479;2408,7914;623,53928;3472,7829;410,31683;2268,9883;
2964,000;1061,4337;4025,4401;2460,8329;2163,2724;2337,7304;818,39771;3029,0378;537,41797;2433,8441;
2962,000;1101,9792;4053,9491;2462,5258;2273,8758;2313,8612;638,22901;3241,2891;559,98303;2348,0862;
2960,000;943,74955;4119,4073;2582,3276;2265,9918;2477,2296;622,5374;2720,4973;431,1788;2192,2629;
