Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2930,000;80,779569;5016,3098;2753,8612;3179,4258;3381,8986;
2928,000;38,236831;5271,7013;2835,7439;3118,5682;3443,822;
2926,000;40,350877;4661,4259;2937,2047;2903,4359;3558,4631;
2924,000;175,55154;4604,2882;2961,0719;3005,4369;3401,1323;
2922,000;16,941056;3721,4916;2763,8367;3055,1666;3249,2705;
2920,000;156,50829;3498,9757;2804,8994;2846,3028;3450,5051;
2918,000;145,24059;3296,1079;2877,6062;2699,1519;3252,1702;
2916,000;32,919818;3157,1732;2891,6022;2636,6632;3029,6554;
2914,000;48,211344;2898,5735;2660,2877;2634,7963;3125,0277;
2912,000;-4,0913574;3294,1813;2710,4041;2716,5848;2944,2011;
2910,000;-46,310605;3105,94;2605,7815;2626,7548;2987,2466;
2908,000;54,842836;2842,5083;2474,5613;2530,9665;2899,4791;
2906,000;58,983426;2905,5784;2439,2767;2380,2728;2885,4353;
2904,000;115,43494;2459,6749;2243,7004;2317,9907;2730,0991;
2902,000;112,16454;2465,925;2243,9622;2240,1678;2490,8187;
2900,000;127,62729;2376,9745;2001,1373;2168,5886;2237,8661;
2898,000;62,779756;2512,6046;1978,1743;1927,3326;2280,0466;
2896,000;177,57054;2605,815;1924,3261;2059,549;2126,59;
2894,000;62,10574;2366,359;2069,1906;1946,1973;2143,3615;
2892,000;74,978213;2507,6819;1865,0521;1839,1176;2205,6672;
2890,000;61,837281;2608,7688;1850,2998;1813,7265;2245,5044;
2888,000;-15,404651;2290,4873;1582,0398;1722,3833;1832,4293;
2886,000;8,9093572;2268,0384;1703,9799;1543,784;1990,0132;
2884,000;159,44918;2152,5003;1729,9845;1614,8411;2008,7295;
2882,000;102,02128;2095,3836;1752,145;1807,4279;2121,8151;
2880,000;156,40039;2182,5658;1765,1206;1646,986;2120,5054;
2878,000;147,15653;2036,3095;1534,1115;1795,8986;1926,4566;
2876,000;179,64756;2182,7985;1552,4503;1773,0988;1756,1509;
2874,000;67,593769;1962,3658;1577,7942;1578,0913;1919,1081;
2872,000;-62,136018;1955,0558;1539,6742;1534,7757;1857,0644;
2870,000;119,23477;2189,4074;1540,485;1564,1791;1784,5128;
2868,000;156,91494;1940,6832;1454,9136;1392,773;1480,5462;
2866,000;13,015818;1600,2392;1280,3209;1301,9044;1463,9953;
2864,000;-51,265404;1250,439;962,38507;1094,8827;1252,2066;
2862,000;47,69856;1204,4374;918,11769;862,43411;932,43274;
2860,000;49,63523;1038,5062;684,87176;688,27164;871,28784;
2858,000;88,150162;688,54159;815,32126;675,67266;736,75219;
2856,000;45,448427;775,69134;483,86551;562,94147;688,4052;
2854,000;72,108941;840,39329;479,90848;590,97954;585,02682;
2852,000;176,01833;644,10041;514,91159;551,2992;567,01144;
2850,000;-47,716255;477,69301;288,23284;453,38543;511,97137;
2848,000;-2,2075177;472,14977;453,26322;449,89369;377,82048;
2846,000;51,44842;474,66964;358,96135;354,72826;426,05128;
2844,000;58,477203;251,69908;281,37558;228,13124;289,2439;
2842,000;1,1304849;353,85939;344,12576;246,30514;310,70426;
2840,000;58,552772;279,63044;242,81392;309,37994;292,65214;
2838,000;83,917512;256,306;277,13775;309,41308;268,01773;
2836,000;-44,159964;181,87586;239,38652;239,49033;247,20814;
2834,000;45,749706;289,96121;229,81531;236,64511;215,29397;
2832,000;150,83023;265,89088;293,68086;168,95453;198,73406;
2830,000;74,86749;199,66681;106,77981;34,32861;136,76947;
2828,000;107,01097;182,7578;156,06572;119,57146;71,798754;
2826,000;-46,761558;189,27116;145,81828;148,84846;140,02151;
2824,000;132,07035;139,77649;66,919761;75,903894;164,65988;
2822,000;78,164065;85,824007;171,98166;103,98839;53,35855;
2820,000;95,038136;93,016417;8,9180161;101,9304;67,273253;
2818,000;119,70368;126,67049;149,99259;159,24435;137,3736;
2816,000;72,808653;219,05833;150,94861;30,003998;169,20878;
2814,000;-34,936835;132,52554;199,09594;23,176611;12,062342;
2812,000;-8,3811873;22,96753;228,46417;-49,474302;41,282937;
2810,000;46,932461;155,12821;164,35838;43,68554;116,4893;
2808,000;48,048186;134,37018;30,223449;115,18446;73,196397;
