Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2994,000;-35,149405;3092,8106;2311,7443;1928,643;2400,1573;
2992,000;185,01812;2843,4333;2342,6052;2043,6428;2546,0321;
2990,000;-64,116887;2462,6611;2190,2774;2012,2119;2543,1994;
2988,000;-73,532672;2749,0828;2131,3891;2211,8106;2592,5383;
2986,000;-213,57035;2760,0458;2499,8105;2159,06;2805,1885;
2984,000;-35,623335;2896,4925;2507,0444;2217,6281;3117,2762;
2982,000;17,043484;3198,9777;2676,2031;2575,4477;3123,697;
2980,000;141,03526;3427,6746;2783,6621;2957,8611;3348,4102;
2978,000;-49,585783;2992,0217;3014,9186;2939,3695;3316,2286;
2976,000;22,002306;3190,9337;3062,3089;2829,002;3366,1408;
2974,000;6,1248816;3045,0955;3018,6479;2838,1077;3543,9805;
2972,000;-7,7520009;3275,9897;3426,4462;3079,1923;3387,3645;
2970,000;-0,41975224;3431,4853;3171,3905;3133,6551;3488,734;
2968,000;41,804927;3201,3788;3510,113;3100,6645;3716,4691;
2966,000;30,780982;3324,4831;3321,4069;3218,7021;3474,3837;
2964,000;85,314588;3475,4576;3337,7354;3050,375;3730,3557;
2962,000;-45,86263;3427,9169;3457,2488;3371,543;3761,6014;
2960,000;-8,9397746;3543,1943;3360,8674;3519,5761;3985,916;
2958,000;52,860003;3260,7284;3512,4444;3355,6928;4003,9494;
2956,000;-41,89408;3228,5786;3411,4628;3302,7871;4004,1587;
2954,000;4,140794;3283,8666;3558,6129;3637,8914;3879,2825;
2952,000;20,400238;3000,3706;3678,3637;3724,3241;3838,2768;
2950,000;-64,570041;3216,9359;3845,8826;3811,7581;4106,634;
2948,000;38,412507;3083,4468;4072,1062;3603,2252;3888,4288;
2946,000;21,317053;3246,8935;4144,81;3959,4398;4259,7525;
2944,000;92,642595;3295,1805;4487,6387;3844,1535;4159,9039;
2942,000;83,018504;3254,295;4173,8638;3864,4452;4196,2509;
2940,000;-72,777738;3376,4194;4262,9794;4066,5612;4520,8115;
2938,000;-67,314167;3419,0477;4029,0976;3895,4055;4444,9519;
2936,000;57,650712;3912,6809;4210,6751;4162,4142;4704,6912;
2934,000;55,913453;4327,8162;4317,9706;4343,1371;4780,6935;
2932,000;-9,0195779;4576,465;4119,3783;3989,1314;4834,1014;
2930,000;3,7589637;4560,0985;4122,2166;4136,6945;5028,2195;
2928,000;-38,712426;4715,2785;4249,3381;4317,4568;5091,6975;
2926,000;-36,527032;4707,7954;4005,1996;4026,9805;4765,0421;
2924,000;98,744976;4311,9098;3935,9805;3988,9603;4823,4013;
2922,000;-59,794157;3803,8103;3810,9105;3803,2011;4489,6972;
2920,000;79,844425;3241,38;3715,9344;3747,4785;4299,8878;
2918,000;68,648076;3233,8337;3810,2357;3632,5933;4249,8493;
2916,000;-43,601351;2900,4388;3628,6509;3724,2489;4086,6945;
2914,000;-28,238477;2874,7983;3869,2858;3514,3305;3935,7366;
2912,000;-80,469831;2917,4398;3861,4458;3459,2891;3857,1345;
2910,000;-122,61773;2981,4671;3622,5617;3483,1775;3680,776;
2908,000;-21,392942;2804,028;3516,4139;3465,2607;3459,815;
2906,000;-17,181003;2771,4564;3104,8385;3182,5273;3597,0366;
2904,000;39,341858;2555,8524;3300,4978;3024,7959;3447,6855;
2902,000;36,142806;2554,2824;3071,6217;2844,2951;3298,9624;
2900,000;51,676904;2637,9861;2942,729;2928,6913;3145,749;
2898,000;-13,099282;2528,6018;2865,3747;2969,1108;2992,9029;
2896,000;101,76285;2456,2186;2872,8358;2730,4851;3061,1294;
2894,000;-13,630602;2397,3249;3017,9269;2579,9056;2954,5973;
2892,000;-0,68678076;2623,9239;2626,1405;2494,3427;2837,0432;
2890,000;-13,756365;2371,8099;2472,9871;2547,9128;2850,4257;
2888,000;-90,926948;2264,4083;2399,7422;2629,9055;2664,3564;
2886,000;-66,541592;2228,3685;2349,8176;2313,8194;2579,5971;
2884,000;84,069583;2191,6579;2386,7725;2396,007;2435,8138;
2882,000;26,713025;2140,437;2367,4402;2441,6959;2553,663;
2880,000;81,163487;2124,7175;2412,5705;2276,3671;2548,7732;
2878,000;71,990974;2095,8098;2291,3083;2235,47;2766,5202;
2876,000;104,55335;2069,6921;2313,1165;2395,6404;2336,6059;
2874,000;-7,4290923;2078,8689;2277,0744;2146,6285;2433,5559;
2872,000;-137,08753;2103,858;2204,4089;2233,2349;2472,7779;
2870,000;44,354608;2044,9093;2195,4797;2025,6352;2407,5759;
2868,000;82,013423;1977,241;1892,4385;1911,8782;2152,9502;
2866,000;-61,907054;1607,8421;1726,3794;1737,8133;1869,9965;
2864,000;-126,20963;1401,5829;1286,2879;1438,1203;1732,5017;
2862,000;-27,267018;1089,5643;1185,5467;1149,9525;1250,8923;
2860,000;-25,351701;959,5239;1113,3562;904,9169;1295,2286;
2858,000;13,141878;987,26294;1067,2072;898,64163;956,86978;
2856,000;-29,58121;765,24334;832,30746;861,62439;1099,229;
2854,000;-2,9420499;674,08936;751,68109;787,6529;958,4561;
2852,000;100,94598;629,03288;673,23665;801,83745;929,18616;
2850,000;-122,80995;617,99017;689,44132;543,48494;799,68723;
2848,000;-77,322568;405,6622;712,69585;501,39418;784,30257;
