Raman shift [1/cm];SA-thermal-after-120C.sp;SB-thermal-after-120C.SP;SC-thermal-after-120C.sp;SD-thermal-after-120C.sp;SE-thermal-after-120C.sp;SF-thermal-after-120C.sp;SG-thermal-after-120C.sp;SH-thermal-after-120C.sp;SI-thermal-after-120C.sp;
3124,000;-1,185307;-0,57087458;2,5749157;0,17357523;2,058212;-4,9890769;-1,1086113;0,024554745;2,022252;
3122,000;-0,53480909;-0,93177058;3,1919316;0,3065123;1,9782386;-0,84706951;-1,0187175;0,67379781;-0,18401999;
3120,000;-0,69773663;-1,4706375;1,9144335;4,5545006;1,5423075;-0,42640928;-0,87742956;0,79431278;0,67369512;
3118,000;-0,69426519;-3,0533736;3,4998039;5,1908741;1,9714033;4,9637857;-0,77706541;5,1127162;0,77265109;
3116,000;-0,91937827;2,6100711;4,173278;0,20857558;0,71270497;2,2855068;-1,053921;1,0442225;1,3432095;
3114,000;-0,66903717;1,2723595;1,8830982;1,6401647;1,0854382;-1,1423754;-1,2557193;1,9202974;0,36422329;
3112,000;-0,70124293;1,3304248;1,4960795;2,8333065;2,3481656;-0,22426092;-1,0050268;1,4468694;0,85599995;
3110,000;-1,2546381;-0,23993249;1,885978;5,2957456;3,8318975;0,78133213;-1,2375231;0,52042116;0,89662696;
3108,000;-1,1355666;1,0761827;0,56317707;2,4217212;3,9451658;-2,740866;-0,90393391;0,96443749;2,1262334;
3106,000;-1,0377714;3,2056756;5,1885163;6,137153;2,590765;1,9696668;-1,1184315;1,5379239;1,6744304;
3104,000;-0,82357716;0,9298001;3,8106624;4,5538185;2,8976349;9,2097879E-5;-0,89316936;-0,37010874;1,570316;
3102,000;-0,75160836;1,2322188;6,3069286;4,020963;2,6950421;0,64367631;-1,1607037;2,28572;1,8089485;
3100,000;-0,50632349;0,30299165;4,6566525;5,6675266;3,954413;0,96237506;-1,1661061;2,8198288;0,89154685;
3098,000;-1,2214332;2,3604706;3,0673241;6,1847141;4,4870868;1,4699222;-1,3092319;2,8685706;2,0111214;
3096,000;-0,84355927;3,9313998;5,636246;4,3241294;4,4597535;2,370092;-1,1990733;1,7066735;1,8877771;
3094,000;-1,0622913;0,5913502;6,7473855;4,8466267;6,0993935;1,7029194;-1,2913409;3,6117877;2,6740415;
3092,000;-0,77689089;2,0294266;6,3727535;5,5627205;4,9661833;5,898131;-1,0166111;1,1317608;3,6246431;
3090,000;-0,73688051;0,79137921;6,8225857;8,455869;5,7686984;0,83778014;-1,2847269;0,10059997;2,9939218;
3088,000;-0,64381537;3,3873136;7,665792;8,2217288;6,7748053;4,6501266;-1,0282739;2,4562001;3,5182186;
3086,000;-0,64966052;4,9185908;12,1467;10,218185;9,5264679;5,3431353;-0,71948017;2,2833589;4,3845552;
3084,000;-0,64803356;4,6904137;13,275919;12,59104;8,5504867;2,3507742;-0,99587424;3,2112964;5,0171962;
3082,000;-0,50903519;5,5919958;15,67511;14,165377;11,471306;4,8458704;-0,75833019;4,3427788;5,9117547;
3080,000;0,29762129;6,1344747;16,90873;13,724253;15,514545;4,9737967;-0,70106655;5,5618799;7,730845;
3078,000;-0,17687582;7,3237284;20,420031;16,977229;16,501418;6,9753051;-0,72571551;5,8727995;9,2044091;
3076,000;0,040077653;8,1873515;23,554283;17,756997;21,087187;7,5597046;-0,41371708;5,6472501;9,7640879;
3074,000;0,40701364;13,081986;26,747718;20,715371;23,32151;9,043279;-0,097249691;8,708035;10,635974;
3072,000;0,27586729;12,772391;30,55841;25,81828;23,027346;11,665136;-0,040108933;7,46081;11,717763;
3070,000;0,26721987;12,450295;32,015357;24,979138;24,674084;11,077392;-0,0041427879;9,6526755;12,880316;
3068,000;0,50138563;13,268987;34,152736;25,156122;25,144965;9,2946319;-0,50185007;8,2738392;13,148101;
3066,000;0,85186509;12,929146;36,540698;26,0184;25,479655;12,476102;-0,40368309;7,5430114;13,014774;
3064,000;0,057930255;14,168514;36,136721;27,42495;25,984438;11,885916;-0,37642384;10,556045;13,009042;
3062,000;-0,12026095;10,397259;35,411561;27,359024;26,35658;10,494958;-0,55212366;10,858897;12,782343;
3060,000;-0,20194659;11,531688;34,472775;24,368627;25,978649;15,608817;0,14711013;8,8300066;12,875081;
3058,000;-0,29963475;11,786318;31,127732;21,134479;24,118036;12,059573;-0,32213276;8,0220197;13,034804;
3056,000;-0,47264595;10,718225;30,678937;22,966298;22,612383;11,445059;-0,41463067;6,2430965;11,119852;
3054,000;-0,20721068;9,7591084;27,30012;23,1396;21,337542;8,3489463;-0,55068932;7,5191186;10,252526;
3052,000;-0,49853595;9,6061984;27,695799;18,264184;19,377071;5,6430922;-0,62679776;5,8616444;8,9996412;
3050,000;-0,04863856;9,0724386;24,629915;16,677129;18,324029;4,7546849;-0,79947443;7,9702894;8,7654284;
3048,000;-0,35725489;6,369589;20,481498;13,816998;16,293981;5,7850896;-0,79029201;4,5893588;6,4963593;
3046,000;-1,0002035;5,5044111;20,404779;11,839699;12,434071;2,9332828;-0,85975739;4,8240907;6,7456606;
3044,000;-1,2103706;5,9106264;17,135405;11,173744;11,239756;5,7563262;-0,96042276;4,9148918;5,3088139;
3042,000;-0,6036157;4,8824387;15,834041;11,945517;11,508184;6,2343901;-0,89379602;2,2000228;5,4841722;
3040,000;-0,90427722;5,7759896;12,28302;10,104387;9,7177302;4,7820147;-1,0681812;1,8982271;4,4757875;
3038,000;-0,93752103;3,0841063;13,230588;10,148093;10,043356;2,5032704;-1,0596645;0,30038963;5,0817492;
3036,000;-0,44331354;5,1296478;11,657522;8,3195578;9,4654344;2,5255051;-1,2058057;1,9087689;4,1892737;
3034,000;-0,79659369;3,5253727;11,800192;9,5057653;8,1005564;2,5715364;-1,3974356;2,0159908;4,512239;
3032,000;-1,1948055;3,8619744;11,863934;8,9574012;7,8758981;2,2948994;-1,4005752;2,4812502;4,0597987;
3030,000;-1,0860607;1,5375178;9,7771961;7,0210305;7,3476985;2,8710552;-1,4398851;2,1343284;3,5517043;
3028,000;-1,2113592;3,5721147;9,5957132;7,2092023;6,6594025;4,0264792;-1,303532;3,6794086;2,7011011;
3026,000;-1,23876;2,784165;8,3887997;7,632029;6,9589417;5,2010035;-0,96821686;1,6454463;3,2455688;
3024,000;-1,2245321;2,6018371;9,4585534;6,2871549;6,1817023;-0,013628078;-1,3152664;2,3745339;2,9361141;
3022,000;-0,81987123;1,7837768;8,8739023;7,2648667;6,4512805;0,87747299;-1,4298716;1,8190097;2,7020452;
3020,000;-1,0301502;1,7398503;7,3694816;7,5507971;7,0415421;5,0593234;-1,3029489;2,533675;3,7300723;
3018,000;-1,0990046;3,257884;7,7373286;6,0358675;7,7582033;2,6603053;-1,3391687;2,1143648;3,0472978;
3016,000;-1,184395;2,1833731;9,6200565;8,1545834;7,3412965;1,6518153;-1,3365456;3,3463342;3,4394727;
3014,000;-1,2186334;3,8987103;9,3815672;9,5884266;7,7098983;-0,35184795;-1,2755297;1,970779;3,0492316;
3012,000;-0,78971162;3,2037974;12,461485;9,974394;8,7040461;1,2530772;-1,3637523;1,6863954;3,2423808;
3010,000;-0,83448286;3,2182782;10,864799;9,115331;9,8860602;0,064261882;-1,1749175;2,3124666;3,78402;
3008,000;-0,8919915;2,7101576;10,275815;10,533134;8,9566553;1,6742918;-1,2051606;1,5146309;3,648894;
3006,000;-0,93397159;5,1168822;11,211321;10,864481;9,4342906;1,6786031;-1,344654;2,1105314;4,1868127;
3004,000;-0,82540788;4,3153534;12,098737;10,100007;9,2934576;3,8354548;-1,2940031;2,8692454;4,3106609;
3002,000;-0,82844155;4,2573884;13,311985;9,509462;11,779265;2,1759595;-1,125844;4,5810619;4,6624598;
3000,000;-0,67370672;4,3696756;12,61687;10,314472;10,763506;4,4299332;-0,97362501;4,24563;4,2435731;
2998,000;-0,85398812;4,1150774;12,610215;11,470211;10,127961;3,3903574;-1,149525;2,260335;4,3639407;
2996,000;-0,73739566;5,0408749;11,491709;10,952127;10,007594;3,3200278;-0,98076625;2,2980393;3,6160691;
2994,000;-0,6999892;4,3725723;13,819599;12,216458;10,530842;5,7425601;-1,1951274;2,6370095;4,8139312;
2992,000;-0,77527666;4,3983876;14,510294;11,801825;12,394667;2,2166553;-1,1926026;0,96333268;5,0949152;
2990,000;-0,79079709;4,0446213;16,959505;13,873122;13,513661;4,9024041;-1,4012768;3,6412371;4,9072036;
2988,000;-0,67367819;5,0479159;14,452102;16,000439;11,830877;3,34229;-0,86541498;4,5126137;5,9107252;
2986,000;-0,7553409;4,9295955;16,565829;14,87017;13,782267;8,623952;-1,1537509;4,4434541;6,0818123;
2984,000;-0,60626813;6,2888381;16,933794;15,732613;14,288042;5,7971718;-0,88192317;4,0312589;6,6246899;
2982,000;-0,69317505;5,9417088;18,239869;16,788324;14,854956;4,5531948;-0,96469447;5,1778859;6,6872616;
2980,000;-0,31440128;6,5279072;20,393197;17,549466;15,461811;5,5345279;-0,58714569;5,0343711;7,3896079;
2978,000;-0,35298803;7,8247959;20,275842;16,475079;15,719931;6,1229783;-0,59622887;4,9097058;8,0259018;
2976,000;-0,29853025;7,5180436;19,971718;17,889507;15,738512;6,193633;-0,27095841;6,466145;8,3066204;
2974,000;-0,15602293;7,0126519;21,686798;17,751541;16,720269;7,6703169;-0,66919368;4,2987118;7,587084;
2972,000;0,021487943;7,47758;21,7842;16,919329;17,860758;5,9341836;-0,49641026;5,3826015;7,575559;
2970,000;0,099986861;8,612329;22,102115;17,73531;17,789531;7,2950063;-0,32741734;6,992993;8,2831484;
2968,000;0,16831338;8,7048612;23,114461;19,820307;17,632367;7,8886765;-0,17652019;4,4258739;8,3560509;
2966,000;0,022192361;8,6808122;22,42243;18,429366;17,794339;7,58507;-0,27969682;4,6451892;8,2404674;
2964,000;-0,063687139;8,3436797;22,919602;21,243214;18,649435;10,375899;-0,44937498;6,1424727;8,8224351;
2962,000;-0,014990113;9,292512;22,934035;22,283663;18,25748;7,818774;-0,3744226;6,4000134;8,5108177;
2960,000;-0,23121564;9,7609839;23,976004;22,204764;19,102002;7,6071217;-0,57283257;4,8623944;7,9493764;
2958,000;-0,03187476;8,8090208;24,480561;21,220185;17,86718;8,0789796;-0,54353417;6,4925423;9,0160952;
2956,000;-0,24853104;9,6475576;22,826843;21,294461;18,758457;8,0937214;-0,49642797;6,5415508;8,9368699;
2954,000;-0,11486542;9,4468743;23,737387;23,572039;20,546717;6,3292787;-0,72393862;6,4703148;8,9673998;
2952,000;-0,26094462;9,4748476;27,462129;23,783583;20,65529;8,8101364;-0,69649721;7,8708057;10,067556;
2950,000;-0,32151484;10,678493;25,58943;21,549818;21,795902;8,6004422;-0,42364365;7,365621;9,7414972;
2948,000;-0,15951031;9,6090273;26,142411;23,232676;21,678966;10,47741;-0,58654725;6,5740435;10,44248;
2946,000;-0,12535249;11,600805;28,111001;26,076621;22,597814;8,5221025;-0,69299567;6,4551982;10,899538;
2944,000;-0,14149434;10,370232;28,540077;23,603164;23,371107;9,2047021;-0,45774161;9,3421959;11,725193;
2942,000;-0,16723556;10,859639;28,928177;24,626081;22,597116;8,128424;-0,76832733;8,9063492;10,446348;
2940,000;0,10975083;10,949396;30,291394;25,73369;23,194925;7,6143159;-0,52290999;5,1953426;11,471964;
2938,000;0,031852207;11,623783;30,088144;23,435229;22,376688;9,584378;-0,64901767;5,4478306;10,917848;
2936,000;-0,20037963;11,395737;28,29353;24,787032;23,129361;9,6138512;-0,54216747;7,3853363;11,273726;
2934,000;0,10892304;10,665449;28,555718;24,964278;22,387315;9,4261555;-0,60355874;6,9272287;10,645321;
2932,000;-0,23583984;9,1004346;30,138022;24,849536;22,853485;8,7940074;-0,53321376;7,6742731;10,514487;
2930,000;-0,10260435;10,686367;29,333154;25,265944;22,156205;8,1380593;-0,52893963;8,121202;11,040336;
2928,000;-0,11472753;11,14078;30,059566;24,616502;22,376206;7,9703526;-0,37518971;6,3080696;10,978241;
2926,000;-0,12461871;9,9255583;29,659292;24,435091;22,376456;9,0212224;-0,71206058;7,6632181;10,24891;
2924,000;-0,16603783;9,7632329;29,210391;25,39106;21,419228;5,9111925;-0,44654038;7,2703676;10,5913;
2922,000;-0,017603742;9,7913567;27,610571;22,810674;21,994475;5,8808952;-0,57041094;7,5026243;9,7262859;
2920,000;-0,28638023;10,924185;26,892168;23,270328;20,340201;7,6002581;-0,53188091;8,4111507;9,7086716;
2918,000;-0,36507978;9,7832265;26,818205;23,330243;20,73475;8,5551635;-0,56442049;7,066503;10,707171;
2916,000;-0,25177134;9,0628269;25,92215;22,841186;19,396615;7,6235519;-0,7535026;7,504286;9,4861427;
2914,000;-0,23119449;9,2781976;27,849704;21,166056;20,39439;6,3666418;-0,5046932;5,9104288;9,9968973;
2912,000;-0,22574572;8,7667324;27,158816;22,906262;20,289428;5,8950877;-0,69887575;8,7242653;10,038393;
2910,000;-0,25097584;9,5539074;24,275022;19,588774;19,690069;6,7929146;-0,66722815;8,757961;9,3212699;
2908,000;-0,30089337;9,6578363;26,993397;16,878133;19,038114;6,5709003;-0,80349971;7,7142255;8,7912037;
2906,000;-0,38747558;7,8602412;23,763191;19,015942;18,044;6,5932404;-0,73245153;4,9274836;8,5243168;
2904,000;-0,52439695;7,1878232;23,358519;19,531394;17,981254;5,7787601;-0,83268968;6,3542233;8,208509;
2902,000;-0,53426037;7,7576299;22,316813;17,871321;15,860416;5,6617787;-0,91304533;6,0417921;8,4132397;
2900,000;-0,63846085;6,9240487;21,992071;18,753726;16,365451;5,6602975;-0,74307159;6,458061;7,3230442;
2898,000;-0,68205218;7,6426124;18,60543;17,228626;15,653701;6,4120803;-0,87512486;5,1823545;7,3176313;
2896,000;-0,42031223;7,4620313;18,773948;16,260639;14,628749;3,6458007;-0,99580422;4,5066717;6,9407531;
2894,000;-0,82206184;6,4500752;18,585821;16,227389;13,829564;5,5196262;-1,0668946;4,6434541;6,716612;
2892,000;-0,63062099;6,8514125;19,966899;16,398231;14,664282;3,772361;-0,99368354;5,1473298;6,5116916;
2890,000;-0,71579512;5,9181391;17,525195;14,568883;13,455758;5,327642;-0,99451998;3,5336148;7,1381123;
2888,000;-0,62149585;5,3787052;16,819767;15,918284;13,073162;3,7937187;-0,87551035;3,7676071;6,2914513;
2886,000;-0,7460819;5,8190474;17,774623;12,866037;12,434208;3,5973763;-1,1166642;2,9714265;6,3927389;
2884,000;-0,85302824;4,919043;16,721539;14,035174;13,364943;3,5310571;-1,0192516;4,3822086;5,4475679;
2882,000;-0,91632177;5,2006757;14,515332;12,144244;12,747429;3,7612173;-1,2070038;4,5800538;5,562846;
2880,000;-0,94938352;5,0996874;17,215481;12,607219;11,95935;5,4705398;-1,3090216;4,8994332;5,8538512;
2878,000;-0,79443933;5,075983;15,691534;14,017402;13,174202;2,6461893;-1,1489388;2,4505351;5,4353635;
2876,000;-0,69188654;5,9616992;15,018858;14,453395;13,131263;1,9212821;-1,0290045;3,510221;5,6769788;
2874,000;-1,0498379;5,7429407;15,043649;11,976821;12,727486;2,596306;-1,0432336;3,7690797;5,8772796;
2872,000;-0,88123988;6,052046;15,820196;12,291716;12,014212;3,9740411;-1,0779723;2,8086063;4,8239459;
2870,000;-1,0305525;4,2766677;16,00905;11,651335;10,964337;4,2624885;-0,86367036;3,2262671;4,6139744;
2868,000;-1,2203071;5,1127231;13,538587;11,233527;10,865487;2,081824;-1,2781851;2,8163121;4,4214723;
2866,000;-0,957293;4,2058767;12,394116;10,067751;9,0371902;2,1768006;-1,3267115;2,9093878;3,8105756;
2864,000;-1,2654593;3,1201293;10,065348;8,268208;7,6909262;1,573875;-1,3269812;1,5699464;3,3633491;
2862,000;-1,0816026;2,0131207;8,5640897;7,011898;6,5709241;1,0851343;-1,3208783;2,5917513;2,6695128;
2860,000;-1,0334276;1,830117;7,0677119;6,4733941;5,8672483;0,58731322;-1,4383833;2,4170446;2,1351668;
2858,000;-1,1954483;2,1106171;6,5845184;5,6002776;4,9584882;1,7028589;-1,4975432;1,2270625;1,6686446;
2856,000;-1,2095996;1,0550077;6,1207609;3,7943156;4,217134;0,43157925;-1,5462922;0,71592465;1,6200067;
2854,000;-1,4668639;1,3006616;6,0347852;2,3671142;3,7212036;1,9240947;-1,7677535;1,493691;1,250259;
2852,000;-1,4741795;1,3808265;4,5242988;3,6335638;3,5589631;-0,59461103;-1,6657599;1,2562635;1,2270531;
2850,000;-1,4336622;0,23935186;5,7517641;3,0246572;3,1081314;0,85427191;-1,4454148;0,43165385;0,60136016;
2848,000;-1,3243482;1,325173;4,1121221;2,4116542;2,560075;1,2453645;-1,6370441;0,53417126;0,93781754;
2846,000;-1,5478704;1,1976117;2,4241815;2,0316306;2,3483383;0,81344693;-1,485319;1,5386868;0,6274672;
2844,000;-1,3411866;0,42025761;3,7067716;1,492231;2,4263341;-1,0136792;-1,4956347;-1,0924572;0,74145529;
2842,000;-1,5418695;0,48433611;4,0005689;0,61428982;2,128422;-1,0193513;-1,4809513;-0,48956778;0,83337454;
2840,000;-1,5732574;0,73876402;3,2208723;2,5419215;1,8032128;0,090796814;-1,5500563;0,29757771;0,22247274;
2838,000;-1,6083482;0,84024193;2,221442;1,2060989;1,7617676;-0,023365383;-1,615099;-0,14418921;0,62559592;
2836,000;-1,5960448;0,1624894;1,6573543;0,65279666;1,639737;-1,5159807;-1,6076806;-0,18238879;-0,00087098587;
2834,000;-1,5162388;-0,61635441;2,0564652;0,68875475;1,2031706;-2,3325442;-1,6543341;-0,10441943;0,2175879;
2832,000;-1,6351822;0,12897235;1,1775186;1,3656816;1,1344371;-1,0874764;-1,5921957;0,68448487;-0,018851226;
